sno,m2m,trailing_profit_threshold,in_trailing_mode
1,112.5,6000,False
2,-11.25,6000,False
3,198.75,6000,False
4,120.0,6000,False
5,75.0,6000,False
6,101.25,6000,False
7,258.75,6000,False
8,217.5,6000,False
9,386.25,6000,False
10,-63.75,6000,False
11,-56.25,6000,False
12,-262.5,6000,False
13,168.75,6000,False
14,322.5,6000,False
15,363.75,6000,False
16,802.5,6000,False
17,930.0,6000,False
18,461.25,6000,False
19,772.5,6000,False
20,378.75,6000,False
21,705.0,6000,False
22,525.0,6000,False
23,667.5,6000,False
24,491.25,6000,False
25,386.25,6000,False
26,416.25,6000,False
27,558.75,6000,False
28,423.75,6000,False
29,498.75,6000,False
30,453.75,6000,False
31,262.5,6000,False
32,292.5,6000,False
33,345.0,6000,False
34,345.0,6950,False
35,292.5,6950,False
36,247.5,6950,False
37,367.5,6950,False
38,180.0,6950,False
39,146.25,6950,False
40,-22.5,6950,False
41,172.5,6950,False
42,86.25,6950,False
43,60.0,6950,False
44,-48.75,6950,False
45,-37.5,6950,False
46,236.25,6950,False
47,270.0,6950,False
48,487.5,6950,False
49,596.25,6950,False
50,596.25,6950,False
51,723.75,6950,False
52,843.75,6950,False
53,427.5,6950,False
54,810.0,6950,False
55,690.0,6950,False
56,596.25,6950,False
57,543.75,6950,False
58,367.5,6950,False
59,937.5,6950,False
60,937.5,6950,False
