time,open,high,low,close,tr,atr,hl2,basic_upper_band,basic_lower_band,ema,supertrend,trend,signal,combined_signal
2025-04-01 09:15:00,23353.0,23563.2,23343.75,23456.1,219.45000000000073,219.45000000000073,23453.475,24221.550000000003,22685.399999999994,23456.1,22685,1,0,0
2025-04-01 10:15:00,23455.6,23483.7,23221.35,23228.95,262.3500000000022,223.74000000000086,23352.525,24135.615000000005,22569.434999999998,23452.6320610687,22685,1,0,0
2025-04-01 11:15:00,23229.0,23258.8,23173.4,23209.9,85.39999999999782,209.90600000000057,23216.1,23950.771,22481.428999999996,23448.926228075285,22685,1,0,0
2025-04-01 12:15:00,23209.25,23252.25,23174.3,23192.45,77.95000000000073,196.7104000000006,23213.275,23901.761400000003,22524.7886,23445.01056047108,22685,1,0,0
2025-04-01 13:15:00,23192.15,23195.15,23136.4,23161.55,58.75,182.91436000000053,23165.775,23805.975260000003,22525.57474,23440.68291832648,22685,1,0,0
2025-04-01 14:15:00,23163.1,23180.35,23137.45,23174.5,42.89999999999782,168.91292400000026,23158.9,23750.095234000004,22567.704766,23436.619056977986,22685,1,0,0
2025-04-01 15:15:00,23174.9,23192.6,23151.8,23192.6,40.79999999999927,156.10163160000016,23172.199999999997,23718.555710599998,22625.844289399996,23432.89357519206,22685,1,0,0
2025-04-02 09:15:00,23209.05,23292.9,23160.4,23238.85,132.5,153.74146844000015,23226.65,23764.745139540002,22688.55486046,23429.931077860885,22689,1,0,0
2025-04-02 10:15:00,23238.15,23311.85,23224.6,23287.5,87.25,147.09232159600012,23268.225,23783.048125586,22753.401874413998,23427.7565575882,22753,1,0,0
2025-04-02 11:15:00,23287.55,23295.3,23246.15,23281.45,49.14999999999782,137.2980894363999,23270.725,23751.268313027398,22790.1816869726,23425.52286968609,22790,1,0,0
2025-04-02 12:15:00,23281.25,23300.0,23238.95,23287.65,61.04999999999927,129.67328049275983,23269.475,23723.331481724657,22815.61851827534,23423.417940377905,22816,1,0,0
